,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
0,EVANSVILLE,IN,47711,FIFTH THIRD BANK,IN,451120,1997-02-28,1997-01-01,84,4,2.0,0,0,1,0,N,Y,2010-03-13,1999-02-28,60000.0,0.0,P I F,0.0,60000.0,48000.0
1,NEW PARIS,IN,46526,1ST SOURCE BANK,OH,722410,1997-02-28,1997-01-01,60,2,2.0,0,0,1,0,N,Y,2010-03-13,1997-05-31,40000.0,0.0,P I F,0.0,40000.0,32000.0
2,BLOOMINGTON,MN,47401,WELLS FARGO BANK NATL ASSOC,IL,621210,1997-02-28,1997-01-01,180,7,1.0,0,0,1,0,N,N,2010-03-13,1997-12-31,287000.0,0.0,P I F,0.0,287000.0,215250.0
3,BROKEN ARROW,OK,74012,BANK OF AMERICA NATL ASSOC,OK,0,1997-02-28,1997-01-01,60,2,1.0,0,0,1,0,N,Y,2010-03-13,1997-06-30,35000.0,0.0,P I F,0.0,35000.0,28000.0
4,ORLANDO,FL,32801,BANK OF AMERICA NATL ASSOC,FL,0,1997-02-28,1997-01-01,240,14,1.0,7,7,1,0,N,N,2010-03-13,1997-05-14,229000.0,0.0,P I F,0.0,229000.0,229000.0
5,PLAINVILLE,CT,6062,BANK OF AMERICA NATL ASSOC,CT,332721,1997-02-28,1997-01-01,120,19,1.0,0,0,1,0,N,N,2010-03-13,1997-06-30,517000.0,0.0,P I F,0.0,517000.0,387750.0
6,UNION,NJ,7083,BANK OF AMERICA NATL ASSOC,NJ,0,1980-06-02,1980-01-01,45,45,2.0,0,0,0,0,N,N,1991-06-24,1980-07-22,600000.0,0.0,CHGOFF,208959.0,600000.0,499998.0
7,SUMMERFIELD,FL,34491,BANK OF AMERICA NATL ASSOC,NC,811118,1997-02-28,1997-01-01,84,1,2.0,0,0,1,0,N,Y,2010-03-13,1998-06-30,45000.0,0.0,P I F,0.0,45000.0,36000.0
8,PORT SAINT JOE,FL,32456,BANCO POPULAR NORTH AMERICA,FL,721310,1997-02-28,1997-01-01,297,2,2.0,0,0,1,0,N,N,2010-03-13,1997-07-31,305000.0,0.0,P I F,0.0,305000.0,228750.0
9,GLASTONBURY,CT,6073,BANK OF AMERICA NATL ASSOC,CT,0,1997-02-28,1997-01-01,84,3,2.0,0,0,1,0,N,Y,2010-03-13,1997-04-30,70000.0,0.0,P I F,0.0,70000.0,56000.0
10,CHARLOTTE,NC,28256,BANK OF AMERICA NATL ASSOC,NC,811111,1997-02-28,1997-01-01,84,1,2.0,0,0,1,0,N,Y,2010-03-13,1998-02-23,70000.0,0.0,P I F,0.0,70000.0,56000.0
11,CHICAGO,IL,60605,JPMORGAN CHASE BANK NATL ASSOC,IL,235950,1997-02-28,1997-01-01,60,24,1.0,0,0,1,0,N,N,2010-03-13,1997-11-30,150000.0,0.0,P I F,0.0,300000.0,225000.0
12,APEX,NC,27502,BANK OF AMERICA NATL ASSOC,NC,445299,2006-02-07,2006-01-01,162,2,2.0,0,0,15100,1,N,N,2010-03-13,2006-03-31,253400.0,0.0,P I F,0.0,253400.0,190050.0
13,SLATERSVILLE,RI,2876,BANK OF AMERICA NATL ASSOC,RI,0,1997-02-28,1997-01-01,120,2,2.0,0,0,1,0,N,N,2010-03-13,1997-05-31,370000.0,0.0,P I F,0.0,370000.0,277500.0
14,WINSTON-SALEM,NC,27106,WELLS FARGO BANK NATL ASSOC,NC,0,1997-02-28,1997-01-01,240,1,1.0,30,0,1,0,N,N,2010-03-13,1997-12-17,225000.0,0.0,P I F,0.0,225000.0,225000.0
15,OKLAHOMA CITY,OK,73112,BANCFIRST,OK,421330,1997-02-28,1997-01-01,12,5,2.0,0,0,1,0,N,N,2010-03-13,1997-09-30,350000.0,0.0,P I F,0.0,350000.0,262500.0
16,MIDLAND,TX,79701,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,60,5,1.0,0,0,1,0,N,Y,2010-03-13,1997-06-30,70000.0,0.0,P I F,0.0,70000.0,56000.0
17,CENTREVILLE,VA,20120,BANK OF AMERICA NATL ASSOC,VA,0,1997-02-28,1997-01-01,60,16,1.0,0,0,1,0,N,Y,2010-03-13,1997-07-31,100000.0,0.0,P I F,0.0,100000.0,80000.0
18,PLANO,TX,75093,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,84,12,2.0,0,0,19755,0,N,Y,2010-03-13,1997-05-31,57500.0,0.0,P I F,0.0,57500.0,46000.0
19,KNOXVILLE,TN,37922,FIRST TENNESSEE BANK NATL ASSO,TN,0,1997-02-28,1997-01-01,120,4,2.0,0,0,1,0,N,Y,2010-03-13,1998-05-31,50000.0,0.0,P I F,0.0,50000.0,40000.0
20,DUMAS,TX,79029,HAPPY STATE BANK,TX,0,1997-02-28,1997-01-01,300,12,2.0,0,0,1,0,N,N,2010-03-13,1997-04-30,615000.0,0.0,P I F,0.0,615000.0,461250.0
21,CORAL SPRINGS,FL,33065,BANK OF AMERICA NATL ASSOC,NC,624410,1997-02-28,1997-01-01,87,2,1.0,0,0,1,0,N,N,2010-03-13,1997-08-31,70000.0,0.0,P I F,0.0,70000.0,56000.0
22,JOHNSTON,RI,2919,CITIZENS BANK NATL ASSOC,RI,0,1997-02-28,1997-01-01,114,6,1.0,0,0,1,0,N,N,2010-03-13,1998-03-31,75000.0,0.0,P I F,0.0,75000.0,56250.0
23,EULESS,TX,76040,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,144,90,1.0,0,0,1,0,N,N,2010-03-13,1997-04-30,1250000.0,0.0,P I F,0.0,1250000.0,937500.0
24,LITTLE ROCK,AR,72223,SIMMONS FIRST NATIONAL BANK,AR,722211,2006-02-07,2006-01-01,126,7,1.0,0,0,1,1,N,N,2010-03-13,2006-04-30,137300.0,0.0,P I F,0.0,137300.0,116705.0
25,SAINT PETER,MN,56082,FIRST NATIONAL BANK MINNESOTA,MN,451110,1997-02-28,1997-01-01,60,2,1.0,0,0,1,0,N,N,2010-03-13,1997-04-30,39500.0,0.0,P I F,0.0,39500.0,29625.0
26,INDEPENDENCE,MO,64055,BANK OF AMERICA NATL ASSOC,MO,0,1997-02-28,1997-01-01,60,2,2.0,0,0,1,0,-,N,2010-03-13,1998-05-31,50000.0,0.0,P I F,0.0,50000.0,25000.0
27,MARSHFIELD,WI,2050,BMO HARRIS BK NATL ASSOC,WI,0,1997-02-28,1997-01-01,240,3,1.0,0,0,1,0,N,Y,2010-03-13,1997-07-31,75000.0,0.0,P I F,0.0,75000.0,60000.0
28,CAMARILLO,CA,93010,PACIFIC WESTERN BANK,CA,611110,2006-02-07,2006-01-01,83,18,2.0,5,23,1,1,Y,N,2010-03-13,2006-02-28,438541.0,0.0,P I F,0.0,100000.0,50000.0
29,ANDERSON,IN,29621,STAR FINANCIAL BANK,IN,445310,1997-02-28,1997-01-01,240,1,2.0,5,0,1,0,N,N,2010-03-13,1998-01-14,291000.0,0.0,P I F,0.0,291000.0,291000.0
30,MIAMI,FL,33186,BANK OF AMERICA NATL ASSOC,NC,238140,2006-02-07,2006-01-01,84,4,1.0,0,4,1,1,Y,N,2010-03-13,2006-02-28,51440.0,0.0,P I F,0.0,35000.0,17500.0
31,DALLAS,TX,75243,JPMORGAN CHASE BANK NATL ASSOC,TX,621210,1997-02-28,1997-01-01,102,12,1.0,0,0,1,0,N,N,2010-03-13,1997-07-31,600000.0,0.0,P I F,0.0,600000.0,450000.0
32,NEW ORLEANS,LA,70130,JPMORGAN CHASE BANK NATL ASSOC,LA,532490,2006-02-07,2006-01-01,60,3,1.0,0,0,1,1,N,N,2010-03-13,2006-05-31,50000.0,0.0,P I F,0.0,50000.0,42500.0
33,WASHINGTON,DC,52353,BBCN BANK,CA,454210,1997-02-28,1997-01-01,84,2,2.0,0,0,1,0,N,N,2010-03-13,1997-10-31,30000.0,0.0,P I F,0.0,30000.0,22500.0
34,LEANDER,TX,78641,JPMORGAN CHASE BANK NATL ASSOC,TX,541611,2006-02-07,2006-01-01,80,2,1.0,4,6,1,2,Y,N,2010-03-13,2006-05-31,63076.0,0.0,P I F,0.0,25000.0,12500.0
35,ROANOKE,VA,24015,WELLS FARGO BANK NATL ASSOC,VA,0,1997-02-28,1997-01-01,84,2,1.0,0,0,1,0,N,Y,2010-03-13,1997-03-14,60000.0,0.0,P I F,0.0,60000.0,48000.0
36,KINSMAN,OH,44428,ANDOVER BANK,OH,0,1997-02-28,1997-01-01,137,2,1.0,0,0,1,0,N,Y,2002-04-18,1997-06-30,47000.0,0.0,CHGOFF,14084.0,47000.0,37600.0
37,NORTH EASTON,MA,2356,SANTANDER BANK NATL ASSOC,MA,0,1997-02-28,1997-01-01,84,9,1.0,0,0,1,0,N,Y,2010-03-13,1997-05-31,70000.0,0.0,P I F,0.0,70000.0,56000.0
38,SPRINGFIELD,MO,37172,U.S. BANK NATIONAL ASSOCIATION,MO,453110,2006-02-07,2006-01-01,84,4,1.0,1,4,1,1,-,N,2010-03-13,2006-02-28,20000.0,0.0,P I F,0.0,20000.0,17000.0
39,LEWISBURG,TN,37091,BANK OF AMERICA NATL ASSOC,TN,311611,1997-02-28,1997-01-01,180,7,1.0,0,0,1,0,-,N,2010-03-13,1997-04-30,245000.0,0.0,P I F,0.0,245000.0,183750.0
40,SPRINGFIELD,MO,62702,U.S. BANK NATIONAL ASSOCIATION,MO,0,1997-02-28,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,1997-05-31,225000.0,0.0,P I F,0.0,225000.0,168750.0
41,LOUISVILLE,KY,40208,"PNC BANK, NATIONAL ASSOCIATION",KY,0,1997-02-28,1997-01-01,126,5,1.0,0,0,1,0,-,N,2010-03-13,1997-05-31,40000.0,0.0,P I F,0.0,40000.0,30000.0
42,LELAND,NC,38756,BANK OF AMERICA NATL ASSOC,NC,332996,1997-02-28,1997-01-01,120,2,2.0,0,0,1,0,N,Y,2010-03-13,1997-06-30,100000.0,0.0,P I F,0.0,100000.0,80000.0
43,EDINBURGH,IN,46124,FIFTH THIRD BANK,IN,0,1980-06-11,1980-01-01,120,16,2.0,0,0,0,0,Y,N,1989-10-04,1980-07-31,197485.0,0.0,CHGOFF,44374.0,200000.0,150000.0
44,Newburgh,NY,12550,KEYBANK NATIONAL ASSOCIATION,NY,0,1996-10-04,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,1997-07-31,25000.0,0.0,P I F,0.0,25000.0,12500.0
45,Dover (census name for Dover C,MA,2030,BANK OF AMERICA NATL ASSOC,MA,0,1997-03-25,1997-01-01,12,20,1.0,0,0,1,0,-,N,2010-03-13,1997-09-30,100000.0,0.0,P I F,0.0,100000.0,50000.0
46,SMITHVILLE,MO,44677,FIRST NATIONAL BANK,MO,235930,1997-02-28,1997-01-01,84,1,1.0,0,0,1,0,N,Y,2010-03-13,1997-03-31,71000.0,0.0,P I F,0.0,71000.0,56800.0
47,Chicago,IL,60628,"PNC BANK, NATIONAL ASSOCIATION",DE,0,1997-03-25,1997-01-01,84,4,1.0,0,0,1,0,-,N,2010-03-13,1999-07-31,25000.0,0.0,P I F,0.0,25000.0,12500.0
48,Marina del Ray,CA,90292,WELLS FARGO BANK NATL ASSOC,SD,0,1997-03-25,1997-01-01,84,6,1.0,0,0,1,0,Y,N,2010-03-13,1997-10-31,30570.0,0.0,P I F,0.0,25000.0,12500.0
49,WINSOR MILL,MD,21244,BBCN BANK,CA,441120,2006-02-07,2006-01-01,84,1,2.0,0,1,1,1,-,N,2010-03-13,2006-02-28,10000.0,0.0,P I F,0.0,10000.0,8500.0
50,SPOTSYLVANIA,VA,22553,UNION FIRST MARKET BANK,VA,621310,1997-02-28,1997-01-01,60,7,2.0,0,0,1,0,N,Y,2010-03-13,1997-03-05,35000.0,0.0,P I F,0.0,35000.0,28000.0
51,Fall River,MA,2720,WEBSTER BANK NATL ASSOC,CT,235510,1997-03-25,1997-01-01,12,1,1.0,0,0,1,0,-,N,2010-03-13,1997-09-30,10000.0,0.0,P I F,0.0,10000.0,5000.0
52,AKRON,OH,44303,CITIZENS BANK NATL ASSOC,OH,722410,1997-02-28,1997-01-01,120,5,1.0,0,0,1,0,N,Y,2010-03-13,1997-06-30,99963.0,0.0,P I F,0.0,99963.0,79970.0
53,Boston,MA,2116,BANK OF AMERICA NATL ASSOC,MA,621210,1997-03-26,1997-01-01,12,1,1.0,0,0,1,0,-,N,2010-03-13,1997-09-30,25000.0,0.0,P I F,0.0,25000.0,12500.0
54,SWARTHMORE,PA,19081,CITIZENS BANK NATL ASSOC,RI,448130,1997-02-28,1997-01-01,42,2,1.0,0,0,1,0,N,Y,2010-03-13,1997-03-31,15000.0,0.0,P I F,0.0,15000.0,12000.0
55,Castro Valley,CA,94546,BANK OF AMERICA NATL ASSOC,CA,0,1997-03-26,1997-01-01,84,2,1.0,0,0,1,0,-,N,2010-03-13,1999-05-31,15000.0,0.0,P I F,0.0,15000.0,7500.0
56,PERRYSBURG,OH,43551,THE HUNTINGTON NATIONAL BANK,OH,0,1997-02-28,1997-01-01,96,1,2.0,0,0,1,0,N,Y,2010-03-13,1997-03-31,60000.0,0.0,P I F,0.0,60000.0,48000.0
57,Beaverton,OR,97008,KEYBANK NATIONAL ASSOCIATION,OR,332911,1997-03-28,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,2002-08-31,25000.0,0.0,P I F,0.0,25000.0,12500.0
58,CLINTON (CENSUS NAME FOR CLINT,ME,4927,"MERRILL BANK, A DIVISION OF",CT,236115,2006-02-07,2006-01-01,167,9,1.0,0,9,1,1,-,N,2014-06-26,2006-02-28,1350000.0,0.0,CHGOFF,1043508.0,1350000.0,1012500.0
59,SHAWNEE MISSION,KS,66204,COMMERCE BANK,KS,512110,1997-02-28,1997-01-01,84,5,1.0,0,0,1,0,N,Y,2010-03-13,1997-04-30,83711.0,0.0,P I F,0.0,86252.0,69002.0
60,Spring Lake,MI,49417,THE HUNTINGTON NATIONAL BANK,OH,713930,1997-03-31,1997-01-01,7,10,1.0,0,0,1,0,-,N,2005-10-04,1998-02-28,25000.0,0.0,CHGOFF,23484.0,25000.0,12500.0
61,Greenville,NC,27858,SELECT BANK & TRUST COMPANY,NC,541810,1997-03-28,1997-01-01,84,8,1.0,0,0,1,0,-,N,2010-03-13,1997-10-31,10000.0,0.0,P I F,0.0,10000.0,5000.0
62,LOS ANGELES,CA,60014,BANK OF AMERICA NATL ASSOC,CA,315212,2006-02-07,2006-01-01,36,20,2.0,20,20,1,1,-,N,2010-03-13,2006-02-28,35000.0,0.0,P I F,0.0,35000.0,17500.0
63,SANTA ANA,CA,92703,WELLS FARGO BANK NATL ASSOC,CA,0,1997-02-28,1997-01-01,300,50,1.0,0,0,1,0,-,N,2010-03-13,1997-03-31,745000.0,0.0,P I F,0.0,745000.0,558750.0
64,Grass Valley,CA,0,PLUMAS BANK,CA,0,1997-03-31,1997-01-01,37,7,1.0,0,0,1,0,-,N,2002-03-01,1998-02-28,20000.0,0.0,CHGOFF,19653.0,20000.0,10000.0
65,WASILLA,AK,99654,WELLS FARGO BANK NATL ASSOC,AK,314999,2006-02-07,2006-01-01,83,2,1.0,0,2,1,1,Y,N,2010-03-13,2006-02-28,78218.0,0.0,P I F,0.0,30000.0,15000.0
66,KIRKLAND,WA,98033,BANK OF AMERICA NATL ASSOC,WA,448120,1997-02-28,1997-01-01,12,10,1.0,0,0,1,0,-,N,2010-03-13,1997-12-31,30000.0,0.0,P I F,0.0,30000.0,15000.0
67,BURNET,TX,78611,WELLS FARGO BANK NATL ASSOC,TX,444220,2006-02-07,2006-01-01,26,4,2.0,1,5,1,2,Y,N,2011-01-27,2006-02-28,60859.0,0.0,CHGOFF,19994.0,20000.0,10000.0
68,CHESAPEAKE,VA,23220,BANK OF AMERICA NATL ASSOC,VA,0,1997-02-28,1997-01-01,240,18,1.0,10,0,1,0,N,N,2010-03-13,1998-04-15,183000.0,0.0,P I F,0.0,183000.0,183000.0
69,Patterson,NY,95363,MANUFACTURERS & TRADERS TR CO,NY,541940,1997-04-01,1997-01-01,84,2,1.0,0,0,1,0,-,N,2010-03-13,1997-10-31,18107.0,0.0,P I F,0.0,20000.0,10000.0
70,Fresno,CA,93612,WESTAMERICA BANK,CA,811111,1997-04-01,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,2002-08-31,10000.0,0.0,P I F,0.0,10000.0,5000.0
71,GRAND JUNCTION,CO,81506,WELLS FARGO BANK NATL ASSOC,CO,621210,2006-02-07,2006-01-01,264,9,1.0,0,9,1,1,-,N,2010-03-13,2006-03-31,1524200.0,0.0,P I F,0.0,1535000.0,1151250.0
72,YUBA CITY,CA,95992,UMPQUA BANK,CA,0,1997-02-28,1997-01-01,60,3,1.0,0,0,1,0,N,N,2010-03-13,1997-06-30,40000.0,0.0,P I F,0.0,40000.0,32000.0
73,Lawrence,MA,1840,"TD BANK, NATIONAL ASSOCIATION",DE,311812,1997-04-02,1997-01-01,60,9,1.0,0,0,1,0,-,N,2010-03-13,1997-09-30,100000.0,0.0,P I F,0.0,100000.0,50000.0
74,CANTON,OH,48390,CITIZENS BANK NATL ASSOC,OH,0,1997-02-28,1997-01-01,72,1,2.0,0,0,1,0,-,N,2010-03-13,1997-04-30,384000.0,0.0,P I F,0.0,384000.0,288000.0
75,Boston,MA,2108,BANK OF AMERICA NATL ASSOC,MA,0,1997-04-03,1997-01-01,24,20,1.0,0,0,1,0,-,N,2010-03-13,1997-09-30,50000.0,0.0,P I F,0.0,50000.0,25000.0
76,Victor,NY,59875,MANUFACTURERS & TRADERS TR CO,NY,0,1997-04-03,1997-01-01,84,1,1.0,0,0,1,2,-,N,2010-03-13,1997-08-31,25000.0,0.0,P I F,0.0,25000.0,12500.0
77,IRVINE,CA,92618,BANK OF AMERICA NATL ASSOC,CA,423710,2006-02-07,2006-01-01,36,18,1.0,1,19,1,1,Y,N,2010-03-13,2006-03-31,577000.0,0.0,P I F,0.0,300000.0,150000.0
78,FORT WASHINGTON,MD,19034,BANK OF AMERICA NATL ASSOC,CA,524128,1997-02-28,1997-01-01,84,5,2.0,0,0,1,0,N,Y,2010-03-13,1998-06-30,35000.0,0.0,P I F,0.0,35000.0,28000.0
79,Sheridan,WY,82801,"PNC BANK, NATIONAL ASSOCIATION",DE,213112,1997-04-03,1997-01-01,84,1,1.0,0,0,1,0,-,N,2010-03-13,1997-11-30,10000.0,0.0,P I F,0.0,10000.0,5000.0
80,NORTH HILLS,CA,91343,BBCN BANK,CA,514199,2006-02-07,2006-01-01,84,1,2.0,0,1,1,1,-,N,2010-03-13,2006-02-28,5000.0,0.0,P I F,0.0,5000.0,4250.0
81,PEARL,MS,39208,TRUSTMARK NATIONAL BANK,MS,0,1997-02-28,1997-01-01,72,5,2.0,0,0,1,0,N,Y,2010-03-13,1997-04-30,22380.0,0.0,P I F,0.0,23000.0,18400.0
82,Wilmington,NC,1887,CAPITAL ONE NATL ASSOC,VA,0,1997-04-04,1997-01-01,12,3,1.0,0,0,1,0,-,N,2010-03-13,1997-09-30,100000.0,0.0,P I F,0.0,100000.0,50000.0
83,SEATTLE,WA,98109,BANK OF AMERICA NATL ASSOC,WA,453910,2006-02-07,2006-01-01,5,1,2.0,3,4,1,1,-,N,2010-05-24,2006-08-31,28090.0,0.0,CHGOFF,28090.0,28300.0,24055.0
84,PLEASANT GROVE,UT,84062,ZIONS FIRST NATIONAL BANK,UT,323117,1997-02-28,1997-01-01,240,20,1.0,8,8,1,0,N,N,2010-03-13,1997-06-11,208000.0,0.0,P I F,0.0,208000.0,208000.0
85,Manchester,NH,3101,"TD BANK, NATIONAL ASSOCIATION",DE,0,1997-04-04,1997-01-01,60,4,1.0,0,0,1,0,-,N,2010-03-13,1997-05-31,44650.0,0.0,P I F,0.0,44650.0,22325.0
86,Leicester (census name Leicest,MA,1611,BANK OF AMERICA NATL ASSOC,MA,0,1997-04-07,1997-01-01,12,4,1.0,0,0,1,0,-,N,2010-03-13,1997-05-31,25000.0,0.0,P I F,0.0,25000.0,12500.0
87,Pueblo,CO,81005,CALIFORNIA BANK & TRUST,CA,0,1997-04-07,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,2000-10-31,7015.0,0.0,P I F,0.0,15000.0,7500.0
88,Orangeburg,SC,29118,WELLS FARGO BANK NATL ASSOC,SD,0,1997-04-07,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,1997-11-30,14027.0,0.0,P I F,0.0,25000.0,12500.0
89,THORNTON,CO,80602,WELLS FARGO BANK NATL ASSOC,CO,561612,2006-02-07,2006-01-01,54,4,1.0,8,4,1,2,Y,N,2008-09-26,2006-02-28,76432.0,0.0,CHGOFF,28979.0,30000.0,15000.0
90,VINTON,IA,24179,FARMERS SAVINGS BANK & TRUST,IA,0,1997-02-28,1997-01-01,240,17,1.0,10,0,1,0,N,N,2010-03-13,1998-05-13,357000.0,0.0,P I F,0.0,357000.0,357000.0
91,Redondo Beach,CA,90278,CALIFORNIA BANK & TRUST,CA,0,1997-04-07,1997-01-01,84,1,1.0,0,0,1,0,-,N,2010-03-13,2000-03-31,25000.0,0.0,P I F,0.0,25000.0,12500.0
92,Waterville,ME,98858,"TD BANK, NATIONAL ASSOCIATION",DE,422720,1997-04-08,1997-01-01,84,7,1.0,0,0,1,0,-,N,2010-03-13,1997-11-30,4987.0,0.0,P I F,0.0,10000.0,5000.0
93,Pittsburgh,PA,15214,"PNC BANK, NATIONAL ASSOCIATION",DE,422810,1997-04-08,1997-01-01,84,2,1.0,0,0,1,0,-,N,2010-03-13,2000-05-31,20000.0,0.0,P I F,0.0,20000.0,10000.0
94,BELLE CHASSE,LA,70037,CAPITAL ONE NATL ASSOC,LA,541810,2006-02-07,2006-01-01,120,16,2.0,16,1,1,0,-,N,2010-03-13,2006-02-28,150000.0,0.0,P I F,0.0,150000.0,127500.0
95,Vancouver,WA,98663,KEYBANK NATIONAL ASSOCIATION,OR,0,1997-04-08,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,1999-02-28,10000.0,0.0,P I F,0.0,10000.0,5000.0
96,CEDAR RAPIDS,IA,52402,WELLS FARGO BANK NATL ASSOC,IA,451120,1997-02-28,1997-01-01,87,6,1.0,0,0,1,0,N,Y,2010-03-13,1997-08-31,46531.0,0.0,P I F,0.0,75000.0,60000.0
97,Clackamas,OR,97015,KEYBANK NATIONAL ASSOCIATION,CA,421940,1997-04-08,1997-01-01,84,2,1.0,0,0,1,0,-,N,2010-03-13,1997-10-31,10000.0,0.0,P I F,0.0,10000.0,5000.0
98,Cotuit,MA,2635,EASTERN BANK,MA,0,1997-04-10,1997-01-01,300,5,1.0,0,0,1,0,-,N,2010-03-13,1997-06-30,60000.0,0.0,P I F,0.0,60000.0,30000.0
99,Garden Grove,CA,92844,CALIFORNIA BANK & TRUST,CA,0,1997-04-11,1997-01-01,84,3,1.0,0,0,1,0,-,N,2010-03-13,1997-09-30,8820.0,0.0,P I F,0.0,10000.0,5000.0
